time,accel_y,gyro_z,gyro_y,gyro_x,roll,pitch,position,gyro,pitch_delta,cumulative_pitch,roll_delta,cumulative_roll,tilt
1.738324463,0.125768872,-0.0380634554,0.0224797502,0.0391831324,0.0171716969,0.0720148878,0.0,0.059071851763070025,0.0,0.0,0.0,0.0,0.0
1.748370117,0.0479592904,0.00390449911,-0.0119240303,0.0317912623,0.0171541525,0.0725352498,0.404394903909241,0.034177653086815515,0.0005203620000000103,0.0005203620000000103,-1.7544399999999682e-05,-1.7544399999999682e-05,0.0005206576773806094
1.75841748,-0.0759471483,0.0033298498,0.0105896704,-0.0356238894,0.0172393687,0.0726569722,0.8118040353263869,0.03731340931695506,0.00012172239999999612,0.0006420844000000064,8.521620000000174e-05,6.767180000000206e-05,0.000645640650237118
1.768463379,0.211506542,0.00185126299,-0.0215991586,0.0421065912,0.0164921878,0.0725957704,1.2213275627684332,0.047359432527955984,-6.120180000000752e-05,0.0005808825999999989,-0.0007471809000000017,-0.0006795090999999996,0.0008939559340177615
1.778510254,0.269768323,0.0110770427,0.0106391683,0.119493067,0.0165283126,0.0736109385,1.6433582284699095,0.12047607994186993,0.0010151681000000051,0.001596050700000004,3.612480000000223e-05,-0.0006433842999999974,0.00172084897491238
1.788556641,0.0579880786,0.0106216427,-0.0119542908,-0.00471303426,0.0166389245,0.0741267621,2.0817196335576957,0.01667144427196881,0.0005158235999999927,0.0021118742999999968,0.00011061189999999818,-0.0005327723999999992,0.0021780402864047844
1.798603271,0.32246984,-0.00097706262,-0.097111553,0.0786355287,0.0160725518,0.0742871412,2.5344053988637656,0.12496061280004886,0.00016037910000001043,0.002272253400000007,-0.000566372699999998,-0.0010991450999999972,0.0025241345971769406
1.808649414,0.0481635077,0.0168999378,-0.0243388079,0.0107254516,0.015977359,0.0746522604,3.0022486371156725,0.0315122322227562,0.00036511919999999976,0.002637372600000007,-9.519280000000116e-05,-0.0011943378999999983,0.002895199000173771
1.818696533,0.0485353367,0.0161200762,-0.0600030906,0.00138497818,0.0153941487,0.0745372719,3.4795829003423493,0.062146165632359744,-0.00011498850000001004,0.002522384099999997,-0.0005832102999999995,-0.0017775481999999978,0.003085789874773723
1.828742432,-0.114749538,0.0168087706,-0.00209451932,-0.0418471806,0.0154421594,0.0743811615,3.9574754831916072,0.045145412883639616,-0.00015611039999999243,0.0023662737000000045,4.8010700000000045e-05,-0.0017295374999999977,0.002930964207768146
1.838787842,-0.034953313,0.00953393895,-0.0271804258,-0.0268381853,0.014948674,0.0741250665,4.4309818386799416,0.03936952792158892,-0.00025609499999999785,0.0021101787000000066,-0.0004934854000000002,-0.002223022899999998,0.0030650750333161697
1.848834717,-0.186264476,-0.00267479056,-0.0130704669,-0.0386248007,0.0147833236,0.0738315523,4.897060544183462,0.040864004192425654,-0.0002935141999999974,0.0018166645000000092,-0.0001653504,-0.002388373299999998,0.0030007660564784393
1.858880859,-0.186010355,-0.00379981566,-0.0368567742,-0.0829945207,0.014504501,0.0732761164,5.351110839473566,0.09088977318544973,-0.000555435900000012,0.0012612285999999973,-0.0002788226000000008,-0.002667195899999999,0.002950361257614863
1.868927979,-0.0920993148,0.0141357752,-0.0325624272,0.0313882455,0.0142057047,0.0727955585,5.792059684322477,0.04738516393586188,-0.00048055789999999765,0.0007806706999999996,-0.0002987962999999993,-0.002965992199999998,0.0030670109997030202
