position_bin_gyro,mean_gyro,upper_bound_gyro
0.0,0.0665225146626749,0.23285759376323556
10.0,0.06731373007778509,0.1971399042889868
20.0,0.06832483341686701,0.19359066531517238
30.0,0.07667478617475744,0.21628781727454657
40.0,0.10171347533972523,0.2966801226273236
50.0,0.10961558564863358,0.35570349938178875
60.0,0.10477193711845956,0.2799719559224966
70.0,0.11239985278600702,0.43062002001985916
80.0,0.13467263994359682,0.5933173121264265
90.0,0.13621193477010865,0.5244121500107998
100.0,0.15668344203762816,0.5508723263667541
110.0,0.15274183841974676,0.5520284833597995
120.0,0.16038670857376924,0.48209381045949784
130.0,0.1668947072306797,0.506765418713101
140.0,0.209085059607504,0.7100004945625207
150.0,0.23662437602924366,0.6813217881646918
160.0,0.22319300103757772,0.7622823962432925
170.0,0.19701116763483778,0.6331091389280872
180.0,0.18144515163337332,0.6626037312327836
190.0,0.19145838932590803,0.6946304035580465
200.0,0.14459203966964657,0.5704785186123578
210.0,0.10947399292561388,0.32135163689664886
220.0,0.12230068582692999,0.5134360027803622
