position_bin_pitch_tilt,mean_pitch,mean_tilt
0.0,-8.130492499999605e-05,0.00017170645038255415
1.0,3.4302714285720996e-05,0.0006475715118064228
2.0,0.000487802283333327,0.00121093834596717
3.0,0.0008166664538461268,0.0017997364525613345
4.0,0.0010904654933333068,0.002259755618867043
5.0,0.0011792673249999676,0.0026578478830099465
6.0,0.0017408524733333168,0.003284605086545597
7.0,0.0017700940266666266,0.00376847607101839
8.0,0.001749233759999983,0.004153875850995996
9.0,0.0017862195275861687,0.004712757351718927
10.0,0.0017225291903225355,0.005025555435675741
11.0,0.0014965293812499593,0.005082836908825616
12.0,0.0019416888322580162,0.005566284298904319
13.0,0.0021613098551723723,0.006186667074606225
14.0,0.0026076945199999535,0.006914861177156214
15.0,0.0026693112677418935,0.0073713763811205845
16.0,0.002765811286111075,0.007623113959650508
17.0,0.0027394720648648216,0.008301484818519302
18.0,0.0024558832888888446,0.009788574877648403
19.0,0.00238882339749996,0.010782820713299553
20.0,0.002405275402777733,0.010973206961998543
21.0,0.0022718543428571028,0.010688159701464623
22.0,0.0015453013974358744,0.011577442298862005
23.0,0.0015954247874999602,0.011791619457354482
24.0,0.001791950770270246,0.011926573139513001
25.0,0.001508338677142817,0.013100325747363466
26.0,0.0018596606243242919,0.0134693794082256
27.0,0.0015819143534883632,0.014298293357959157
28.0,0.0010631572478260653,0.014786956374780266
29.0,0.000364231241176455,0.015991700286625405
30.0,0.0008524078279999781,0.01677863222551983
31.0,0.0013171614068965244,0.01568742942331742
32.0,0.0017480960238094889,0.016121246492334967
33.0,0.0015128314462962667,0.0171622903924022
34.0,0.0019556613682539382,0.02017425825179337
35.0,0.0017291153686274413,0.02060221834965292
36.0,0.0022017013745097742,0.02165462291601396
37.0,0.0026628602339999778,0.021845130572836144
38.0,0.0034462810566037415,0.024162008264381828
39.0,0.00245912951063827,0.02193248528618444
40.0,0.001973926182978715,0.022706781672253932
41.0,0.002001217408163243,0.02268471503617911
42.0,0.002828263827272705,0.024172352001816336
43.0,0.0030437611469387345,0.023621612217839417
44.0,0.003383763134090884,0.02492467076580127
45.0,0.004358992190909064,0.026084487269993507
46.0,0.0036006697641025333,0.025996466625836254
47.0,0.003696523714634114,0.026842384145401684
48.0,0.0040673848116278815,0.026589189520740946
49.0,0.0052164405186046064,0.027801146966558846
50.0,0.005358995571739094,0.028901563118455674
51.0,0.005925596471428529,0.029859707496383926
52.0,0.007143290418965476,0.03167775619136957
53.0,0.0065809202079999615,0.031302853659786446
54.0,0.0065512282043477844,0.03237662031598642
55.0,0.006436050968085073,0.03264939889260914
56.0,0.007280338926785678,0.031926101987422455
57.0,0.006717931753658496,0.033860114098498297
58.0,0.0062836115097560695,0.032890880085702325
59.0,0.006292167879487159,0.03414437494662111
60.0,0.006128873117948679,0.033724529581386754
61.0,0.005324544999999959,0.03375425943238784
62.0,0.005259937217948705,0.034570549170231425
63.0,0.004754547355263137,0.03411243384228981
64.0,0.0043384817522727085,0.036137964208407744
65.0,0.004104717266071405,0.03815035737120873
66.0,0.0025653739399999777,0.03657971193130789
67.0,0.0017523456166666665,0.03650949565552647
68.0,2.2080352777780728e-05,0.03592486921137286
69.0,0.0005097402575757486,0.03713998262904062
70.0,-0.00263821305952381,0.03735527080651511
71.0,0.00014564764324322702,0.035868930525657865
72.0,-0.0006322517717948921,0.03734254047084611
73.0,0.001565965709090889,0.036037155945873194
74.0,0.0009274830899999768,0.0363469026423103
75.0,0.000508386647222211,0.03706944477197834
76.0,-0.0002711802333333485,0.0359727456241274
77.0,-0.0006822670322580806,0.03708157885136297
78.0,-0.001410345561290345,0.03719364669930119
79.0,-0.00037667198888891674,0.036913927182924744
80.0,-0.0011682861294117733,0.03809662896663474
81.0,-0.00011284997812500012,0.0383147157866341
82.0,0.0023504885485714057,0.039544039717294664
83.0,0.0025657711083333333,0.03932690453140863
84.0,0.003652473822857129,0.040203445190746444
85.0,0.0030723600085714145,0.04087561964209069
86.0,0.004389270488235279,0.04129322508644466
87.0,0.003178725394117641,0.039812675750319444
88.0,0.0035056926833333234,0.04031744457879925
89.0,0.002809402444117638,0.041130170549942224
90.0,0.0020697403592592483,0.040629990336497564
91.0,0.00406503028999999,0.04178878685325992
92.0,0.0030161022137930797,0.0412858159051016
93.0,0.003974950448275865,0.041628192213622496
94.0,0.0035137381892856967,0.04071121391374572
95.0,0.003975116671428561,0.04166838968133561
96.0,0.003696262351515139,0.04145696665484153
97.0,0.0061133457535714,0.042873324829325196
98.0,0.0063427110749999785,0.042895584141482535
99.0,0.006443254506451604,0.04422529118566825
100.0,0.005436642993749988,0.042938473082860695
101.0,0.009403007371428563,0.043962021768083365
102.0,0.009992236792857129,0.04434161576328158
103.0,0.008624370296969693,0.04379099039424592
104.0,0.010143170981578926,0.042455042704013846
105.0,0.008906841767999975,0.043535319446478066
106.0,0.009276619510714271,0.043218411367528416
107.0,0.010254364516129003,0.043309510254191816
108.0,0.01158937932399998,0.04256999454628841
109.0,0.011043974766666647,0.042137259774106
110.0,0.013978524553846119,0.04343479348656649
111.0,0.012594055034615376,0.043128692709875835
112.0,0.01355291445483869,0.04352291895492757
113.0,0.015356264763333297,0.04284252579979757
114.0,0.013148261729999973,0.04195805704817715
115.0,0.014709989349999963,0.04362299252889233
116.0,0.019705780807142834,0.04513865707119811
117.0,0.020705924054545438,0.04653174287319846
118.0,0.017875067503703688,0.045404702263669314
119.0,0.01836986677037036,0.045596592601590755
120.0,0.018111304396666656,0.046342948413730864
121.0,0.01411328692857142,0.04521495416040292
