position_bin_gyro,mean_gyro,upper_bound_gyro
0.0,0.06664746769612162,0.19304913328475493
20.0,0.0759280723567825,0.2109857166259852
40.0,0.10628352849979991,0.3297841416771996
60.0,0.09625408091159283,0.28813803019404427
80.0,0.15630000345102327,0.5832184762682706
100.0,0.15766743221534532,0.5259895085507
120.0,0.1845534229802055,0.5341088721965598
140.0,0.22879684912479328,0.7332066498656427
160.0,0.19227025751760562,0.620412671220905
180.0,0.17140466779414537,0.6289320886639389
200.0,0.10769005903922751,0.31137794549021003
220.0,0.10682942014902416,0.32025926927608417
