time,seconds_elapsed,z,y,x
1743927024815166500,0.02316650390625,-0.23510314524173737,-0.2152954787015915,-0.2955707013607025
1743927024825212400,0.03321240234375,-0.24935761094093323,-0.33738458156585693,-0.4066777527332306
1743927024835258400,0.04325830078125,-0.24607473611831665,-0.4522823989391327,-0.46974408626556396
1743927024845303300,0.05330322265625,-0.22886599600315094,-0.4998326003551483,-0.5019959211349487
1743927024855349200,0.063349365234375,-0.20041704177856445,-0.5135346055030823,-0.5110533237457275
1743927024865394400,0.07339453125,-0.1570276916027069,-0.5493608713150024,-0.4910668134689331
1743927024875440400,0.0834404296875,-0.10579460859298706,-0.5673584938049316,-0.45709580183029175
1743927024885486300,0.093486328125,-0.06602486222982407,-0.5525873303413391,-0.41240012645721436
1743927024895531500,0.103531494140625,-0.03770214319229126,-0.5186218619346619,-0.3771430552005768
1743927024905577500,0.113577392578125,-0.012822296470403671,-0.4475119411945343,-0.33845362067222595
1743927024915621600,0.12362158203125,-0.021319378167390823,-0.33934125304222107,-0.2997794449329376
1743927024925667600,0.13366748046875,-0.03888612613081932,-0.2349380999803543,-0.2689550518989563
1743927024935713500,0.143713623046875,-0.06754627078771591,-0.15477029979228973,-0.26223990321159363
1743927024945758500,0.153758544921875,-0.10520679503679276,-0.09771234542131424,-0.27428364753723145
1743927024955804400,0.163804443359375,-0.13359901309013367,-0.09387020021677017,-0.28830572962760925
1743927024965849300,0.173849365234375,-0.14772336184978485,-0.14955070614814758,-0.2702788710594177
1743927024975895300,0.183895263671875,-0.14380799233913422,-0.2232036292552948,-0.21392585337162018
1743927024985940500,0.1939404296875,-0.14662891626358032,-0.26975440979003906,-0.13801060616970062
1743927024995986400,0.203986328125,-0.1260826289653778,-0.28894808888435364,-0.038250721991062164
1743927025006032400,0.214032470703125,-0.09320903569459915,-0.26174989342689514,0.043160632252693176
1743927025016077600,0.22407763671875,-0.05433061346411705,-0.1805812567472458,0.09953761845827103
1743927025026123500,0.23412353515625,-0.016771797090768814,-0.0773237943649292,0.13449892401695251
1743927025036168400,0.24416845703125,0.01832600124180317,-0.022852828726172447,0.14157122373580933
1743927025046214400,0.25421435546875,0.04728466644883156,-0.020563727244734764,0.12420246750116348
1743927025056260400,0.26426025390625,0.06337229162454605,-0.024895625188946724,0.0889882817864418
1743927025066305300,0.27430517578125,0.06781874597072601,0.029700491577386856,0.06158958747982979
1743927025076351500,0.2843515625,0.0904737263917923,0.0653703361749649,0.056680046021938324
1743927025086396400,0.294396484375,0.10879041254520416,0.07078161090612411,0.0750979334115982
1743927025096442400,0.3044423828125,0.13013043999671936,0.06960397213697433,0.09475800395011902
1743927025106488600,0.314488525390625,0.14354194700717926,0.09958410263061523,0.09929057955741882
1743927025116533500,0.324533447265625,0.16188473999500275,0.14169374108314514,0.0902845710515976
1743927025126579500,0.334579345703125,0.17295734584331512,0.17824232578277588,0.030878016725182533
1743927025136624400,0.344624267578125,0.14583517611026764,0.19463913142681122,-0.09337735921144485
1743927025146670300,0.35467041015625,0.07966597378253937,0.21974466741085052,-0.25053396821022034
1743927025156716300,0.36471630859375,-0.009480409324169159,0.2356828898191452,-0.3773033916950226
1743927025166761500,0.374761474609375,-0.12194366008043289,0.17998728156089783,-0.4258638620376587
1743927025176807400,0.384807373046875,-0.23850968480110168,0.06927434355020523,-0.367337703704834
1743927025186852400,0.394852294921875,-0.31618934869766235,0.008157212287187576,-0.17795222997665405
1743927025196898600,0.404898681640625,-0.3353806138038635,0.06910711526870728,0.1035657450556755
1743927025206944500,0.414944580078125,-0.30046844482421875,0.1868174523115158,0.3871413469314575
1743927025216989400,0.424989501953125,-0.23276688158512115,0.30466338992118835,0.6128615140914917
1743927025227035600,0.43503564453125,-0.1538250893354416,0.4004005789756775,0.7129773497581482
