time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1743927024815166500,0.02316650390625,0.6042082913134955,0.12396784353388865,0.29921354069114325,0.07203940947575879,0.9430433332508028,0.07597679796266744,0.28304488914666137
1743927024825212400,0.03321240234375,0.6019505662684788,0.12261295852704193,0.2980324682860246,0.06991342383811419,0.9437279837041951,0.07429796197843302,0.2793313428558004
1743927024835258400,0.04325830078125,0.5996943762279747,0.12103408941460268,0.296781611957025,0.06654165501488694,0.9445105915138167,0.07191013633473421,0.2747633496842776
1743927024845303300,0.05330322265625,0.5975071331567218,0.119347767638122,0.29551803419337297,0.06231291076647881,0.9453341456848982,0.06905495098508826,0.26971941512057895
1743927024855349200,0.063349365234375,0.5955868744976293,0.11761852258059564,0.29436682539080783,0.05773818531312101,0.9461258502352005,0.06602984801853387,0.26451155554468536
1743927024865394400,0.07339453125,0.594019094715122,0.1159627342700319,0.29336773578422426,0.05280507376499887,0.9468555955174196,0.06286827478484618,0.2593858287296525
1743927024875440400,0.0834404296875,0.5929026038041423,0.11448630571898519,0.29256268473215163,0.047434272668370546,0.947497642294144,0.05956609995324386,0.2545445350076489
1743927024885486300,0.093486328125,0.5922325214280876,0.11321093980380768,0.29196813077115796,0.041966455017264134,0.9480335893888812,0.05630415955534298,0.25013378984292484
1743927024895531500,0.103531494140625,0.5918741767162714,0.11210447073328006,0.2915340783992161,0.03666072575237012,0.9484779742926647,0.053196936662809245,0.2461529492498894
1743927024905577500,0.113577392578125,0.591733339794088,0.11110236202824425,0.2912320546221159,0.0318231979099739,0.948842556529026,0.05037695886448311,0.24255134555603466
1743927024915621600,0.12362158203125,0.5916814323145689,0.11015617192916657,0.29102268272994253,0.027879568884700525,0.9491382239274618,0.048042095249772473,0.23934829033452085
1743927024925667600,0.13366748046875,0.591456282347791,0.1092112232154251,0.29079226420668297,0.02505099936299888,0.9494057810375568,0.04627462587654898,0.23648214840880089
1743927024935713500,0.143713623046875,0.5909733670570315,0.10822564259992215,0.29049423568884153,0.023232284105722808,0.9496710335175987,0.0450028826026635,0.2338286503402754
1743927024945758500,0.153758544921875,0.5901608999923688,0.10710894926495691,0.29008236357178485,0.02217050646069133,0.9499674752681927,0.0440647112749811,0.2311168571698008
1743927024955804400,0.163804443359375,0.5889895345598453,0.10586478584396221,0.2895236600344062,0.021510924731658995,0.9503135597249768,0.043276317587042125,0.2282451333484224
1743927024965849300,0.173849365234375,0.5875818258343048,0.10466662415336382,0.2888402645103224,0.020619958445389244,0.9506950400377315,0.04236945290205361,0.22539161483460857
1743927024975895300,0.183895263671875,0.5861370215208902,0.10373815634185289,0.2881003495706483,0.01905558304636033,0.9510729201565541,0.041194013085009286,0.222902376437831
1743927024985940500,0.1939404296875,0.5846663894602311,0.10322509454357276,0.2873090644147981,0.01687385768802585,0.9514264633518708,0.039823001623296696,0.22110226914779557
1743927024995986400,0.203986328125,0.5832650822952196,0.10318974306153694,0.2865224600929546,0.014340142332234736,0.9517252263689472,0.03841746394710604,0.22020686323106708
1743927025006032400,0.214032470703125,0.5821202643789032,0.1035804804286604,0.2858461193463079,0.011799179610503035,0.9519364620292139,0.03715064971613048,0.22021845777190638
1743927025016077600,0.22407763671875,0.5813527116158829,0.10423743886223183,0.2853630598061255,0.009718070900579993,0.9520453508338959,0.03622343890117346,0.2209444385878884
1743927025026123500,0.23412353515625,0.5809601547140492,0.10498953032016423,0.28509714497694255,0.008522287022995956,0.9520582564412259,0.03580515596065817,0.2221509198491018
1743927025036168400,0.24416845703125,0.5809547348887596,0.10572430966711993,0.2850513707849228,0.008075566571458104,0.9519911453349638,0.03579247257555978,0.22356017665245123
1743927025046214400,0.25421435546875,0.5812768788554709,0.10640257228727393,0.28517113531730465,0.007803970330818779,0.9518766775227435,0.03587293411637796,0.22491561637345475
1743927025056260400,0.26426025390625,0.5818458836322388,0.10695872868073099,0.2854067798311569,0.007434285192931399,0.9517433557245849,0.03588082315051172,0.2259945971929089
1743927025066305300,0.27430517578125,0.5825073840967718,0.10732076157252325,0.2857027177839632,0.007282345124548147,0.9516111841844077,0.035949326297479996,0.22673461125806504
1743927025076351500,0.2843515625,0.5833076522000314,0.10753947427758861,0.2860938644735875,0.007636856832656091,0.9514576678898745,0.036245998468938743,0.22733103217278727
1743927025086396400,0.294396484375,0.5843396160038821,0.10777174795490936,0.28660020062848063,0.008103637804219046,0.9512647250177366,0.03661895651948849,0.22799916729818365
1743927025096442400,0.3044423828125,0.5855692843786066,0.10810636207779463,0.28719538738380523,0.008531928250437663,0.9510319276762339,0.037014857581514904,0.22887930400189926
1743927025106488600,0.314488525390625,0.5869651071358917,0.1084746357481127,0.28787203777862325,0.009033769726607008,0.9507675735237491,0.03746955484899254,0.22985999861366999
1743927025116533500,0.324533447265625,0.5885205202216508,0.10878552737113839,0.28864491973258466,0.009912423254965576,0.9504721677441275,0.03811269348918968,0.23084203391588953
1743927025126579500,0.334579345703125,0.5902693405233304,0.10889039271334701,0.2895327100776914,0.011129874238442623,0.9501589424819225,0.03888159705563601,0.23150368120780865
1743927025136624400,0.344624267578125,0.5919574630547245,0.108518129192115,0.2904180683731047,0.012597359446710796,0.9499003186694313,0.039632046932578664,0.23123778273057158
1743927025146670300,0.35467041015625,0.5931718986322719,0.10742049360212531,0.2911153375794208,0.01440024688830366,0.9497832124624853,0.04030688135346109,0.229530401092466
1743927025156716300,0.36471630859375,0.5935947157785711,0.10558041661052017,0.2914753410805584,0.01661867476874836,0.9498527887909197,0.04092327524768456,0.22635597960092524
