time,seconds_elapsed,z,y,x
1743927024815166500,0.02316650390625,2.617023158070445,0.8182090650081634,-0.9765944041732698
1743927024825212400,0.03321240234375,2.3718951358020304,0.8724059346199036,-0.7768686082296073
1743927024835258400,0.04325830078125,2.020723152306676,0.8798954135924577,-0.5821200892418623
1743927024845303300,0.05330322265625,1.5836141760677098,0.8543991532862186,-0.41801969689819957
1743927024855349200,0.063349365234375,1.191454933145642,0.8212994322389364,-0.3259551246523857
1743927024865394400,0.07339453125,0.977190251174569,0.672491265040636,-0.34421335999649016
1743927024875440400,0.0834404296875,0.8430529988855123,0.4574824867039919,-0.4096116417760029
1743927024885486300,0.093486328125,0.812318253403902,0.26895284223109484,-0.4864628627989441
1743927024895531500,0.103531494140625,0.8575497262716293,0.18277707229554652,-0.5082672097846865
1743927024905577500,0.113577392578125,0.8125988239109516,0.012486118216067552,-0.525403930285573
1743927024915621600,0.12362158203125,0.7630027260929345,-0.14910042814314364,-0.590739229831472
1743927024925667600,0.13366748046875,0.7059937216699123,-0.3299440481580794,-0.7103121693909168
1743927024935713500,0.143713623046875,0.7242951020359992,-0.3932577056832611,-0.7427985808454454
1743927024945758500,0.153758544921875,0.7795815204501152,-0.4665712175667286,-0.7691698704205453
1743927024955804400,0.163804443359375,0.6348457172572612,-0.6840333804048597,-0.6991176984205841
1743927024965849300,0.173849365234375,0.44963060415983197,-0.5980243453383446,-0.6542270018145442
1743927024975895300,0.183895263671875,0.19558160881102085,-0.477573965357244,-0.5983793693210929
1743927024985940500,0.1939404296875,-0.0223690681964159,-0.46950507906153793,-0.5606731773916631
1743927024995986400,0.203986328125,-0.08097147929072379,-0.5373296381399035,-0.4781026288738474
1743927025006032400,0.214032470703125,0.058035424861311906,-0.5684928381666541,-0.4021628236074
1743927025016077600,0.22407763671875,0.2696259191870689,-0.48029286892712114,-0.4471757583536207
1743927025026123500,0.23412353515625,0.4067424795478582,-0.3693910924054682,-0.5615576686086132
1743927025036168400,0.24416845703125,0.5609925455391407,-0.3337663829252124,-0.5217958958562463
1743927025046214400,0.25421435546875,0.627639731401205,-0.419567620459944,-0.34754140844065695
1743927025056260400,0.26426025390625,0.5679898570805788,-0.5090624518156052,-0.20856787683526054
1743927025066305300,0.27430517578125,0.3326379634171724,-0.715822749505937,-0.10071156895672902
1743927025076351500,0.2843515625,0.12958441129028797,-0.7463363995827734,-0.09331515682879835
1743927025086396400,0.294396484375,0.007163315758109092,-0.835122644277662,-0.21672471540905533
1743927025096442400,0.3044423828125,-0.056775195667147636,-0.9693203945823013,-0.2989100822678767
1743927025106488600,0.314488525390625,-0.16883739427030087,-1.173936665981263,-0.3253806492326781
1743927025116533500,0.324533447265625,-0.2978589109808206,-1.3014790500499307,-0.24785646085161714
1743927025126579500,0.334579345703125,-0.19846213268339633,-1.3910805566504596,-0.16414256925126536
1743927025136624400,0.344624267578125,-0.08744856635034083,-1.394666306182742,-0.3197134537838399
1743927025146670300,0.35467041015625,-0.17319149782657622,-1.2728522366330026,-0.6431351144358516
1743927025156716300,0.36471630859375,-0.5471645111948251,-1.1105937823615968,-0.958322542162612
1743927025166761500,0.374761474609375,-1.1024988848417996,-0.7946066556245088,-1.0649283019907771
1743927025176807400,0.384807373046875,-1.6951386145323515,-0.5243104359604418,-0.9710920804299413
1743927025186852400,0.394852294921875,-2.236798683091998,-0.5681089534156024,-0.796696905902028
1743927025196898600,0.404898681640625,-2.5304823542147874,-0.939255218925327,-0.7281666097071021
1743927025206944500,0.414944580078125,-2.5895728410869836,-1.3316690211303532,-0.48573023767545814
1743927025216989400,0.424989501953125,-2.3897908579766747,-1.6539670845799148,-0.339427148633264
1743927025227035600,0.43503564453125,-1.870492843350768,-1.8600402767889201,-0.17003378271432593
1743927025237080300,0.445080322265625,-1.1845248416215182,-1.7366957828015088,-0.06616159430220722
1743927025247126300,0.455126220703125,-0.7137754615873098,-1.3982500098884105,0.06251673499383031
1743927025257172200,0.465172119140625,-0.7230623453706503,-0.8486161859706044,0.3303316592361778
1743927025267217400,0.475217529296875,-0.9882195947110652,-0.3043374593451619,0.5159932374594732
1743927025277263400,0.485263427734375,-1.2927245195776222,-0.05005114810913801,0.5552548056047409
1743927025287308500,0.49530859375,-1.420694481408596,0.31553149192407726,0.57988739828635
1743927025297354500,0.5053544921875,-1.3117325869083403,0.7624108976796269,0.526100899573788
1743927025307400400,0.515400390625,-1.1853601234018802,1.1046551860928535,0.469384484889172
1743927025317445600,0.525445556640625,-1.1384341215759515,1.4102211643196643,0.4068545616202056
1743927025327491600,0.53549169921875,-1.0583920320898295,1.5477306695207953,0.42203086876831947
1743927025337536300,0.545536376953125,-0.8518348557561636,1.5674936468720435,0.43748749069515613
1743927025347582500,0.55558251953125,-0.4062596644669771,1.4772316305361688,0.3890706657895818
1743927025357628400,0.56562841796875,0.16339198834598062,1.3013318966642022,0.29997751056998967
1743927025367673300,0.57567333984375,0.7357476394206285,1.1436615008354187,0.30070757841020823
1743927025377719300,0.58571923828125,1.2318056482344866,0.9790282802566885,0.306494564313814
1743927025387764500,0.595764404296875,1.6146131254434584,0.916741919952631,0.3401472796013579
1743927025397810400,0.605810546875,1.9156459902852772,0.8007467658147215,0.40636323443930594
1743927025407856400,0.6158564453125,2.067836785659194,0.6334855348199605,0.4599427393376827
1743927025417901600,0.625901611328125,2.07506147621572,0.5157622417151928,0.44261948328875
1743927025427947500,0.635947509765625,1.8526473900586367,0.5389072627201676,0.34186654114201664
1743927025437992400,0.645992431640625,1.540468861824274,0.5738850525990128,0.1420778360299766
