time,accel_y,gyro_z,gyro_y,gyro_x,roll,pitch,position,gyro,pitch_delta,cumulative_pitch,roll_delta,cumulative_roll,tilt
0.0251555176,0.0207793879,-0.00275291968,0.000673213042,0.00212966162,0.0128246053,0.0745910045,0.0,0.00354503049072236,0.0,0.0,0.0,0.0,0.0
0.035201416,0.0199748665,-0.00348235946,0.000375737902,-0.000410727574,0.0128303572,0.0745852409,0.6267553122687555,0.0035265710711248647,-5.76359999999998e-06,-5.76359999999998e-06,5.751899999999893e-06,5.751899999999893e-06,8.142692341602901e-06
0.0452485352,0.0205303815,-0.00171614415,0.000798020512,0.00189697556,0.0128365538,0.0745961543,1.2555988330911414,0.0026796461998534952,1.0913399999992746e-05,5.149799999992766e-06,6.196600000001051e-06,1.1948500000000944e-05,1.3011037325668851e-05
0.0552944336,0.00958265186,-0.000246079173,6.27218e-05,-0.00100560358,0.0128575739,0.074593676,1.8861143077711406,0.001037172861045072,-2.478299999997269e-06,2.671499999995497e-06,2.1020099999999667e-05,3.296860000000061e-05,3.307666092896948e-05
0.0653417969,0.00371112948,-0.00227590255,0.000548804877,-0.00043042202,0.0128646689,0.0745900269,2.517796517688298,0.0023803744086627146,-3.6491000000027363e-06,-9.776000000072393e-07,7.095000000000365e-06,4.0063600000000976e-05,4.007552553267508e-05
0.0753876953,0.00666544924,-0.00158880698,0.00031098444,8.83618e-05,0.0128519446,0.0745860968,3.1499726651443627,0.0016213657049901093,-3.930099999993608e-06,-4.9077000000008475e-06,-1.2724300000000952e-05,2.7339300000000025e-05,2.7776300037622175e-05
0.0854348145,0.00584295387,6.92084e-05,0.00247396156,0.000549003948,0.012848429,0.0745785035,3.782792288014688,0.0025350899269863743,-7.5932999999972495e-06,-1.2500999999998097e-05,-3.5156000000001464e-06,2.382369999999988e-05,2.690434319380324e-05
0.0954807129,-0.00180880299,0.000712362118,-0.000212102663,-0.0021905899,0.0128419282,0.0745764292,4.415944587189264,0.002313251269705725,-2.0743000000017497e-06,-1.4575299999999847e-05,-6.5007999999998345e-06,1.7322900000000044e-05,2.2638953917970614e-05
0.105527832,-0.00976699545,0.000699213706,-0.000973694958,-0.000657882076,0.0128112078,0.0745583298,5.048987061999071,0.001367402831580711,-1.809939999999899e-05,-3.2674699999998835e-05,-3.072039999999984e-05,-1.3397499999999798e-05,3.531471402036152e-05
0.11557373,-0.00894683817,-0.00119828852,-0.000239461195,-0.000931655057,0.01275685,0.0745350868,5.681202707175329,0.0015366255842944603,-2.324300000000612e-05,-5.5917700000004955e-05,-5.435779999999994e-05,-6.775529999999974e-05,8.784970034883739e-05
0.125619629,-0.0162635909,-0.000717745163,4.96877e-05,0.00134849944,0.0126717355,0.0745213702,6.312331016817148,0.0015284232811042563,-1.3716599999991086e-05,-6.963429999999604e-05,-8.511450000000045e-05,-0.0001528698000000002,0.00016798247375404826
0.135666748,-0.0167675949,0.00334810326,-0.00246087415,0.00148032606,0.0125833023,0.074531034,6.9420938559265615,0.004411016012856445,9.663799999989897e-06,-5.9970500000006144e-05,-8.843319999999981e-05,-0.000241303,0.0002486435172676954
0.145712646,-0.0231781196,0.00267126225,-0.00372775365,0.000229669735,0.0125179477,0.0745334826,7.569973430711465,0.004591790225014461,2.448600000010126e-06,-5.752189999999602e-05,-6.535459999999944e-05,-0.00030665759999999945,0.0003120058534985669
0.155759521,-0.0228679576,0.00195646985,-0.00155754341,0.000791330356,0.0124389027,0.0745345952,8.195784920248398,0.002622960060755889,1.1125999999916925e-06,-5.6409300000004325e-05,-7.904499999999981e-05,-0.00038570259999999926,0.0003898057269631244
0.165805664,-0.018699732,0.000488123856,-0.000289068092,-0.00225341739,0.0123650105,0.0745170729,8.8193816403939,0.002323728726457381,-1.7522300000002988e-05,-7.393160000000731e-05,-7.389219999999995e-05,-0.0004595947999999992,0.00046550323486051133
0.175852539,-0.0115438689,0.00343304686,-0.000114897266,-0.000193195883,0.0122651904,0.0745143398,9.441245751909971,0.0034403977639072903,-2.7330999999991556e-06,-7.666470000000647e-05,-9.982010000000006e-05,-0.0005594148999999993,0.0005646436987765826
0.185898438,-0.0200394562,0.00169339404,-0.00111486111,-0.00313420501,0.0121923899,0.0745177997,10.061518779218911,0.003732792482044382,3.4599000000024027e-06,-7.320480000000407e-05,-7.280050000000107e-05,-0.0006322154000000003,0.000636439513811172
0.195944824,-0.00976867595,0.000861422624,-0.00207226723,-0.00367775629,0.0121225894,0.0745122547,10.680301946211008,0.0043083908525463985,-5.544999999995692e-06,-7.874979999999976e-05,-6.980049999999981e-05,-0.0007020159000000002,0.0007064190363041261
0.205991699,-0.000247325825,0.00380409369,-0.00240410818,0.00214218162,0.0120679162,0.0745218868,11.298129181496028,0.004983954959317606,9.632100000003807e-06,-6.911769999999595e-05,-5.4673199999999075e-05,-0.0007566890999999992,0.0007598392267526719
0.216037598,-0.00846906459,0.00275933603,-0.00210423628,0.00132885226,0.0120127253,0.0745380335,11.915432630951845,0.003715857098628997,1.6146699999997072e-05,-5.297099999999888e-05,-5.519089999999997e-05,-0.0008118799999999992,0.0008136062077202942
0.226084961,0.00118972124,0.00144578097,-0.00123270135,-0.00098183041,0.0119701802,0.0745464194,12.532429962916973,0.0021386505524528155,8.385899999990842e-06,-4.458510000000804e-05,-4.254510000000107e-05,-0.0008544251000000003,0.0008555875657418247
0.236130615,0.00363864876,0.00268921116,-0.00176826306,-0.000240672613,0.0119525366,0.074536721,13.149261642581065,0.0032274656030819846,-9.69839999999389e-06,-5.428350000000193e-05,-1.7643599999998816e-05,-0.0008720686999999991,0.0008737565541338953
0.246177734,0.0163546302,0.00304761156,-0.00229916861,-0.000138714211,0.0119313661,0.0745363783,13.76679789932194,0.0038201248867266524,-3.4270000000280465e-07,-5.462620000000473e-05,-2.1170500000000647e-05,-0.0008932391999999997,0.0008949079785894637
0.256223633,0.0212067464,0.0025525298,-0.00180089148,-0.00105191208,0.0119030853,0.074527604,14.385684065532098,0.003296230806038096,-8.774300000000124e-06,-6.340050000000486e-05,-2.828080000000059e-05,-0.0009215200000000003,0.0009236983998038814
0.266269775,0.0183959268,0.000665672123,0.00113773579,-0.00263300096,0.0118888423,0.0745156005,15.006495561734448,0.0029445298705476184,-1.2003499999996281e-05,-7.540400000000114e-05,-1.4242999999998854e-05,-0.0009357629999999992,0.0009387961202438998
0.27631665,0.025297669,0.00332084345,-0.00265806774,-0.00133018242,0.0118791496,0.0745021717,15.629414783958552,0.004456760101274654,-1.3428800000006569e-05,-8.88328000000077e-05,-9.692700000001053e-06,-0.0009454557000000002,0.0009496197907680377
0.286362549,0.0208417125,-0.000489743892,-0.00223790668,-0.000504840165,0.0118668066,0.0745055797,16.254497522558825,0.0023458343889407787,3.4080000000102917e-06,-8.542479999999741e-05,-1.234299999999973e-05,-0.0009577987,0.0009616006167722281
0.296409668,0.0245212047,0.00219951617,-2.93469e-05,0.00134765473,0.0118529613,0.0745145968,16.881921834948738,0.0025797104283082728,9.017099999994449e-06,-7.640770000000296e-05,-1.3845300000000713e-05,-0.0009716440000000007,0.0009746436268479325
0.306455811,0.0327888285,0.00148354424,0.000362298451,0.000209537102,0.0118363762,0.0745184388,17.511827224182866,0.0015414504457648762,3.842000000003898e-06,-7.256569999999907e-05,-1.6585099999999117e-05,-0.0009882290999999998,0.0009908897692999456
0.316502441,0.0360274451,-0.000641391613,0.000296252081,-0.00153376802,0.011823869,0.0745129714,18.14488594458545,0.001688665992995149,-5.467400000000455e-06,-7.803309999999952e-05,-1.2507199999999344e-05,-0.0010007362999999991,0.001003774031758791
0.326548828,0.0258021845,0.00233993307,-0.00157549838,0.000302331056,0.0118289882,0.0745078728,18.781164006639717,0.0028370558656614997,-5.098600000003062e-06,-8.313170000000258e-05,5.119199999998811e-06,-0.0009956171000000003,0.0009990817230623836
0.336594727,0.0259583249,0.000660810154,0.000786725432,0.000728436979,0.0118256216,0.0745085395,19.420223298009052,0.0012594551986314308,6.666999999987988e-07,-8.246500000000379e-05,-3.366599999998776e-06,-0.000998983699999999,0.0010023816184920238
0.346641602,0.0255277514,0.000152755529,-8.43373e-05,-0.00270733982,0.0118304737,0.0744951144,20.061901043487342,0.0027129570458761403,-1.3425099999991863e-05,-9.589009999999565e-05,4.852099999999235e-06,-0.0009941315999999999,0.0009987454877978517
0.3566875,0.0231834533,-0.000440863427,-0.000369295478,0.00116755953,0.0118217501,0.0745002163,20.70599701849478,0.001301512569063877,5.101899999998549e-06,-9.07881999999971e-05,-8.723599999999748e-06,-0.0010028551999999996,0.001006956329453407
0.366734619,0.0120637281,-0.00174163841,-0.00149090588,0.00156646385,0.0118366074,0.0745107496,21.352250128488787,0.002776673133006967,1.0533299999990198e-05,-8.02549000000069e-05,1.48573000000006e-05,-0.000987997899999999,0.000991252086695619
0.376780518,0.00720657038,-0.00277920603,0.00020046765,4.47335e-05,0.0118549177,0.0745037249,21.999774517811055,0.002786785697162079,-7.024699999996775e-06,-8.727960000000368e-05,1.831029999999935e-05,-0.0009696875999999997,0.0009736076058504884
0.386827881,-0.00287380187,-0.000301640946,0.000740248011,0.00021496159,0.0118816758,0.0744828332,22.647977694981453,0.0008277456513135898,-2.0891699999997515e-05,-0.00010817130000000119,2.675809999999959e-05,-0.0009429295000000001,0.0009491138351714933
0.396873779,0.000325651758,-0.00172563316,0.00315546896,0.000250648009,0.0119412393,0.0744427582,23.296130554064707,0.0036052210174732325,-4.007500000000053e-05,-0.00014824630000000172,5.956350000000006e-05,-0.000883366,0.0008957189600648691
0.406919678,-0.0053784051,-0.00273489417,0.0022112797,0.00216755597,0.0120280404,0.0744409336,23.944095308069418,0.004131307652041266,-1.8246000000055052e-06,-0.00015007090000000722,8.680110000000053e-05,-0.0007965648999999995,0.000810578136232912
0.416966553,-0.00626702451,0.000192185864,0.000259182649,0.00230976846,0.0121201282,0.074441886,24.591709562499197,0.002332196687819202,9.524000000038502e-07,-0.00014911850000000337,9.208779999999965e-05,-0.0007044770999999998,0.0007200863222327312
0.427012939,-0.0146834821,-0.00196966995,0.00154628698,0.000382096274,0.01218461,0.0744228217,25.23848525204896,0.0025331010045111122,-1.906429999999626e-05,-0.00016818279999999963,6.448180000000019e-05,-0.0006399952999999996,0.0006617245939497258
0.437059814,-0.0167000826,-0.00208684918,0.00134122372,-0.000951348571,0.0122198694,0.0744155379,25.88399660284512,0.0026568561629680015,-7.283800000007501e-06,-0.00017546660000000713,3.525939999999943e-05,-0.0006047359000000002,0.0006296777242878874
0.447105713,-0.00949278162,-0.000742873643,0.0010536192,0.000584061723,0.0122555674,0.0744180486,26.528019795711657,0.0014153101300939171,2.5106999999996438e-06,-0.0001729559000000075,3.5698000000000674e-05,-0.0005690378999999995,0.0005947418557502255
0.457152832,-0.019056948,-0.00185074867,-0.000146667473,-0.00010250113,0.0122792126,0.0744193477,27.170765730547124,0.0018593785168152966,1.2991000000045494e-06,-0.00017165680000000294,2.3645200000000158e-05,-0.0005453926999999994,0.0005717685320123261
0.46719873,-0.0250099381,-0.00212424737,0.00273330417,0.000458700582,0.0123058321,0.0744226715,27.811635756021825,0.0034919600224828525,3.323799999996324e-06,-0.00016833300000000662,2.6619500000000032e-05,-0.0005187731999999994,0.0005454004326430641
0.477244629,-0.018691841,-0.00227524852,0.0023918869,0.000867495779,0.0123484526,0.0744413803,28.4503330254086,0.0034132722857599007,1.8708800000002968e-05,-0.00014962420000000365,4.2620499999999895e-05,-0.00047615269999999946,0.0004991079992776419
0.487291748,-0.0106114835,-0.0028331494,0.001307823,-0.00264465902,0.0123842636,0.0744413732,29.087300222171578,0.004090398251285163,-7.100000004589546e-09,-0.00014963130000000824,3.5811000000000176e-05,-0.0004403416999999993,0.00046507025135841774
0.497337646,-0.024063378,-0.00260811229,0.00222554826,0.000505594071,0.012413648,0.0744429599,29.722606064366385,0.003465680328516816,1.586700000000274e-06,-0.00014804460000000796,2.9384399999998756e-05,-0.0004109573000000005,0.00043681014870587974
0.507384521,-0.0149216017,-0.00377628999,0.00147108501,0.000279057305,0.0124411409,0.0744443752,30.356149882601066,0.004062306016869577,1.4153000000016736e-06,-0.0001466293000000063,2.749290000000036e-05,-0.00038346440000000016,0.00041054244322098044
0.51743042,-0.0117570733,-0.00296083023,0.00186976022,0.00258482224,0.0124494112,0.0744466383,30.98800647810075,0.0043524504527421015,2.2631000000106205e-06,-0.00014436619999999567,8.270299999999994e-06,-0.00037519410000000017,0.000402010214269798
0.527477539,-0.00170461196,-0.000857450534,-0.00139616011,-0.000571738346,0.0124627586,0.0744493719,31.618945923335804,0.00173532971140902,2.7335999999988925e-06,-0.00014163259999999678,1.3347400000000495e-05,-0.0003618466999999997,0.00038857795573558836
0.537523682,-0.0003694909,-0.000473688822,0.000550077995,7.86055e-05,0.0124672337,0.0744481876,32.24943941929704,0.0007301682856035434,-1.1843000000122395e-06,-0.00014281690000000902,4.4750999999999125e-06,-0.00035737159999999976,0.0003848520851082561
