position_bin_gyro,mean_gyro,upper_bound_gyro
0.0,0.08070703541578851,0.2594024025965119
10.0,0.0873867801650443,0.28244039231999774
20.0,0.06691463259473006,0.18369424107059174
30.0,0.07423936910561837,0.21128422646570733
40.0,0.08406161025489252,0.2331153465841691
50.0,0.10975161749195217,0.3599554735328898
60.0,0.11201025501367465,0.40358009647570836
70.0,0.11988634819071918,0.40817868342813457
80.0,0.10500595633749454,0.3804857317133155
90.0,0.09756832220210039,0.33833362138633877
100.0,0.09286874333941988,0.27676495427046754
110.0,0.1036554979213576,0.3264345682041914
120.0,0.12549888334331388,0.48318617141803516
130.0,0.13345861863788547,0.4234134583075696
140.0,0.11609303562982606,0.44254446126778474
150.0,0.10688771014161856,0.350368164961004
160.0,0.10182852680068036,0.3451194949820005
170.0,0.09782833244913748,0.2842332189830886
180.0,0.07656809780332915,0.22425200496442144
190.0,0.10918845516636833,0.348113499417978
200.0,0.10577416207711288,0.3377356761506832
210.0,0.11104094160924115,0.3952095770076824
220.0,0.1087273915879125,0.36882293257005866
