position_bin_gyro,mean_gyro,upper_bound_gyro
0.0,0.0771755993877023,0.25700990526908013
10.0,0.08075003874633088,0.2476855139752445
20.0,0.08641758845615354,0.23527393875099162
30.0,0.08617188237271024,0.25399887417316186
40.0,0.1031462088508252,0.3281190264058149
50.0,0.11149108050324523,0.34362881605850815
60.0,0.11503455821246132,0.3684804161566931
70.0,0.11382777685913156,0.3600743744568794
80.0,0.11982584627480843,0.4518091775195012
90.0,0.11457455690444807,0.43517789034346976
100.0,0.10069233809402629,0.2779288312384103
110.0,0.11344540129774482,0.3738381389487465
120.0,0.09937006588010905,0.30836331757948127
130.0,0.0738417774793082,0.22826891367579824
140.0,0.09192043631576262,0.2873860383804743
150.0,0.09743935579977209,0.2864705980329323
160.0,0.10446868810251476,0.3133509929204696
170.0,0.1117849849428257,0.34925220556608666
180.0,0.12972445927536974,0.4822880863767154
190.0,0.130458820686233,0.43918110167494073
200.0,0.10795504091769408,0.3351885655247486
210.0,0.10237275155792758,0.32387938765901586
220.0,0.08141522004891914,0.252774982966241
