position_bin_gyro,mean_gyro,upper_bound_gyro
0.0,0.0806534121978248,0.2672066323505919
10.0,0.08053523838960717,0.24395090628793115
20.0,0.08727348973572024,0.28183862780763286
30.0,0.08847498728157399,0.30394613320265274
40.0,0.08685225062239336,0.24589054044249375
50.0,0.10689794350843593,0.34018245720183016
60.0,0.11593788772908015,0.39694223665397155
70.0,0.09948067438608313,0.3024158587791922
80.0,0.08017146083448748,0.25070175356107804
90.0,0.0885293066954912,0.2835519642928424
100.0,0.11000216002363301,0.3448238648658344
110.0,0.119297285605365,0.43017205477702325
120.0,0.12147212668059455,0.43176113619730083
130.0,0.09971963090445421,0.2917271277893156
140.0,0.08751678351680005,0.2761603371329079
150.0,0.09155630343910001,0.2572008628110509
160.0,0.08964607310268942,0.2793714216085368
170.0,0.08853457149634214,0.2734591734786153
180.0,0.08393953936126246,0.24500775683867146
190.0,0.08576720017476347,0.253675676458261
200.0,0.11336045117043503,0.38725515778405095
210.0,0.11118289980090605,0.3602859794930219
220.0,0.08404585337707957,0.2768382853992335
